=== VitaSuwayomi Perf Log ===
FPS | Frame(ms) | Max(ms) | TexUp | Pending | Sections...
-----------------------------------------------------------
FPS:31 Frame:31.9ms Max:32.6ms TexUp:0 Pend:0 | grid_draw:18.8ms
FPS:31 Frame:32.4ms Max:32.4ms TexUp:0 Pend:0 | grid_draw:19.5ms
FPS:31 Frame:32.3ms Max:32.3ms TexUp:0 Pend:0 | grid_draw:19.4ms
FPS:31 Frame:32.2ms Max:32.3ms TexUp:0 Pend:0 | grid_draw:19.3ms
FPS:31 Frame:31.7ms Max:31.9ms TexUp:0 Pend:0 | grid_draw:18.8ms
FPS:31 Frame:32.3ms Max:0.0ms TexUp:0 Pend:0 | grid_draw:19.2ms
FPS:31 Frame:32.3ms Max:32.5ms TexUp:0 Pend:0 | grid_draw:19.3ms
FPS:31 Frame:32.3ms Max:32.6ms TexUp:0 Pend:0 | grid_draw:19.4ms
FPS:31 Frame:31.7ms Max:31.9ms TexUp:0 Pend:0 | grid_draw:18.9ms
FPS:30 Frame:32.1ms Max:46.8ms TexUp:0 Pend:0 | grid_draw:19.3ms
FPS:29 Frame:32.7ms Max:47.0ms TexUp:0 Pend:0 | grid_draw:19.6ms
FPS:29 Frame:32.2ms Max:32.5ms TexUp:0 Pend:0 | grid_draw:19.3ms
FPS:31 Frame:32.2ms Max:32.3ms TexUp:0 Pend:0 | grid_draw:19.3ms
FPS:31 Frame:34.2ms Max:47.3ms TexUp:0 Pend:0 | grid_draw:20.2ms
FPS:31 Frame:32.3ms Max:32.6ms TexUp:0 Pend:0 | grid_draw:19.5ms
FPS:31 Frame:31.7ms Max:32.4ms TexUp:0 Pend:0 | grid_draw:18.9ms
FPS:30 Frame:32.2ms Max:32.4ms TexUp:0 Pend:0 | grid_draw:19.5ms
FPS:30 Frame:32.9ms Max:33.3ms TexUp:0 Pend:0 | grid_draw:19.9ms
FPS:30 Frame:34.3ms Max:34.9ms TexUp:0 Pend:0 | grid_draw:20.5ms
FPS:30 Frame:31.8ms Max:31.9ms TexUp:0 Pend:0 | grid_draw:19.0ms
FPS:30 Frame:32.4ms Max:33.0ms TexUp:0 Pend:0 | grid_draw:19.4ms
FPS:31 Frame:32.3ms Max:32.3ms TexUp:0 Pend:0 | grid_draw:19.3ms
FPS:31 Frame:31.2ms Max:31.2ms TexUp:0 Pend:0 | grid_draw:18.4ms
FPS:11 Frame:97.1ms Max:97.1ms TexUp:1 Pend:4 | grid_draw:23.5ms
FPS:18 Frame:163.4ms Max:0.0ms TexUp:0 Pend:0 | grid_draw:0.1ms
FPS:57 Frame:17.4ms Max:17.4ms TexUp:0 Pend:0 | grid_draw:4.8ms
FPS:56 Frame:18.7ms Max:24.7ms TexUp:0 Pend:0 | grid_draw:5.3ms
FPS:51 Frame:19.1ms Max:19.2ms TexUp:0 Pend:0 | grid_draw:5.8ms
FPS:52 Frame:19.1ms Max:19.3ms TexUp:0 Pend:0 | grid_draw:5.7ms
FPS:52 Frame:19.1ms Max:19.3ms TexUp:0 Pend:0 | grid_draw:5.9ms
FPS:52 Frame:19.0ms Max:19.4ms TexUp:0 Pend:0 | grid_draw:5.7ms
FPS:52 Frame:18.8ms Max:19.4ms TexUp:0 Pend:0 | grid_draw:5.6ms
FPS:52 Frame:19.1ms Max:19.1ms TexUp:0 Pend:0 | grid_draw:5.6ms
FPS:52 Frame:18.7ms Max:19.1ms TexUp:0 Pend:0 | grid_draw:5.7ms
FPS:52 Frame:19.1ms Max:19.2ms TexUp:0 Pend:0 | grid_draw:5.6ms
FPS:52 Frame:18.9ms Max:19.2ms TexUp:0 Pend:0 | grid_draw:5.7ms
FPS:52 Frame:13.3ms Max:47.1ms TexUp:0 Pend:0 | grid_draw:0.1ms
FPS:40 Frame:24.7ms Max:24.7ms TexUp:0 Pend:0 | grid_draw:11.9ms
FPS:40 Frame:33.4ms Max:33.4ms TexUp:0 Pend:0 | grid_draw:12.2ms
FPS:39 Frame:33.3ms Max:33.3ms TexUp:0 Pend:0 | grid_draw:13.2ms
FPS:36 Frame:27.4ms Max:27.5ms TexUp:0 Pend:0 | grid_draw:13.6ms
FPS:37 Frame:27.4ms Max:27.5ms TexUp:0 Pend:0 | grid_draw:13.6ms
